NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT02670642,,2002.0,True,False,False
NCT00241540,,2002.0,False,False,False
NCT00280865,,2003.0,True,False,False
NCT00241514,,2003.0,True,False,False
NCT00163475,,2005.0,True,False,False
NCT00206245,,2005.0,True,False,False
NCT00206284,,2005.0,True,False,False
NCT00255463,,2005.0,False,False,False
NCT00247481,,2005.0,False,False,False
NCT00241501,,2005.0,True,False,False
NCT00079833,,2005.0,False,False,False
NCT00240318,,2005.0,True,False,False
NCT00251914,,2005.0,True,False,False
NCT00163319,,2005.0,False,False,False
NCT00076089,,2005.0,True,False,False
NCT00163527,,2005.0,True,False,False
NCT00251992,,2005.0,True,False,False
NCT00228527,,2005.0,True,False,False
NCT00163436,,2006.0,False,False,False
NCT00225589,,2006.0,True,False,False
NCT00061022,,2006.0,True,False,False
NCT00107731,,2006.0,True,False,False
NCT00242775,,2006.0,True,False,False
NCT00259792,,2006.0,False,False,False
NCT00256711,,2006.0,True,False,False
NCT00235937,,2006.0,False,False,False
NCT00333294,,2006.0,False,False,False
NCT00314509,,2006.0,False,False,False
NCT00351910,,2007.0,True,False,False
NCT00232661,,2007.0,True,False,False
NCT00296387,,2007.0,True,False,False
NCT00383929,,2007.0,False,False,False
NCT00322595,,2007.0,True,False,False
,2006-003541-16,2007.0,True,False,False
NCT00244608,,2007.0,False,False,False
NCT00076388,,2007.0,True,False,False
NCT00206310,,2007.0,True,False,False
NCT00394472,,2007.0,True,False,False
NCT00082277,,2007.0,False,False,False
NCT00251979,,2007.0,True,False,True
,2006-002867-19,2008.0,True,False,False
,2006-005212-27,2008.0,True,False,False
NCT00240331,,2008.0,True,True,True
,2006-006512-30,2008.0,True,False,False
NCT00313209,2005-005080-28,2008.0,True,False,False
,2006-006796-21,2008.0,True,False,False
NCT00317044,,2008.0,True,True,True
NCT00468559,,2008.0,True,True,True
NCT00244621,,2008.0,True,False,True
NCT00297102,,2008.0,True,False,True
,2006-006697-15,2008.0,True,False,False
NCT00463866,,2008.0,True,False,True
NCT00444275,,2008.0,True,False,True
NCT00424268,2006-004508-37,2008.0,True,False,True
NCT00631189,,2008.0,True,False,True
NCT00363896,,2008.0,True,False,False
NCT00496470,,2008.0,True,False,True
NCT00641056,,2009.0,True,False,True
NCT00251927,,2009.0,True,False,True
NCT00323479,,2009.0,True,False,True
NCT00278889,,2009.0,True,False,True
NCT00520572,,2009.0,True,False,True
NCT00254579,,2009.0,True,False,False
NCT00690612,2007-001545-17,2009.0,True,True,True
NCT00391872,,2009.0,True,False,True
,2006-000658-27,2009.0,True,False,False
,2007-006095-11,2009.0,True,False,False
,2009-012094-35,2009.0,False,False,False
NCT00666458,,2009.0,True,False,True
,2007-001420-12,2009.0,True,False,False
NCT00296374,,2009.0,True,True,True
NCT00731263,,2010.0,False,False,False
,2009-012935-13,2010.0,True,False,False
NCT01044342,,2010.0,False,False,False
NCT01006590,,2010.0,True,True,True
,2009-012775-10,2010.0,True,False,False
NCT00497991,,2010.0,True,False,False
NCT00745875,,2010.0,True,False,True
NCT00257205,,2010.0,True,False,True
NCT00757588,,2010.0,True,False,True
NCT01001494,,2010.0,True,False,True
NCT00496028,,2010.0,False,False,False
NCT00952588,,2011.0,True,False,True
NCT00554229,2007-003227-20,2011.0,True,True,True
NCT00617669,,2011.0,True,True,True
,2010-019925-33,2011.0,True,False,False
,2008-006344-19,2011.0,True,False,False
NCT00676338,,2011.0,True,False,True
NCT00663260,,2011.0,True,False,True
,2008-006323-31,2011.0,True,False,False
,2007-004000-13,2011.0,True,False,False
NCT00090363,,2011.0,True,True,True
NCT01180400,,2011.0,True,True,True
,2010-018273-38,2011.0,True,False,False
,2009-010114-30,2011.0,True,False,False
,2007-003228-39,2011.0,True,False,False
NCT01029886,,2011.0,True,True,True
NCT00620542,,2011.0,True,True,True
,2007-003224-38,2011.0,True,False,False
NCT00926731,,2011.0,True,False,True
NCT00359762,,2011.0,True,False,True
NCT00256698,,2012.0,True,True,True
,2007-005325-30,2012.0,True,False,False
NCT01200524,,2012.0,True,False,True
,2009-012816-41,2012.0,True,False,False
NCT00960661,,2012.0,True,False,True
NCT01197521,2010-020743-12,2012.0,True,False,True
,2010-019785-90,2012.0,True,False,False
NCT01145560,,2012.0,True,False,True
NCT01006603,,2012.0,True,False,True
,2010-020140-36,2012.0,True,False,False
NCT01197508,,2012.0,True,True,True
NCT00241449,,2012.0,False,False,False
,2009-015168-32,2012.0,True,False,False
NCT00610714,,2012.0,True,True,True
,2006-000320-14,2012.0,True,False,False
NCT01555099,,2013.0,False,False,False
,2007-005220-33,2013.0,True,False,False
NCT01197755,2010-020745-27,2013.0,True,True,True
,2009-017358-10,2013.0,True,False,False
NCT00338130,2006-001456-12,2013.0,True,False,False
NCT00660907,,2013.0,True,True,True
NCT01462942,,2013.0,True,False,True
NCT01482884,,2013.0,True,False,True
NCT01107886,,2013.0,True,True,True
NCT01347580,,2013.0,True,True,True
NCT00936221,,2014.0,True,True,True
NCT01225562,2009-017242-30,2014.0,True,True,True
NCT00910728,,2014.0,True,False,True
NCT01908140,2013-000116-14,2014.0,True,False,True
NCT01202591,2010-021220-10,2014.0,True,True,True
NCT00065325,,2014.0,False,False,False
,2007-006647-45,2014.0,True,False,True
NCT01329029,2010-019685-87,2014.0,True,True,True
NCT00229697,,2015.0,False,False,False
NCT00384176,,2015.0,True,True,True
NCT00900627,,2015.0,True,True,True
,2009-010551-26,2015.0,True,True,True
NCT01444430,2011-002790-28,2015.0,True,True,True
NCT00055302,,2015.0,False,False,False
NCT01732822,2011-004616-36,2016.0,True,True,True
NCT01894256,2013-002225-30,2016.0,True,True,True
NCT02388295,,2016.0,True,True,True
NCT02482298,,2016.0,True,True,True
NCT01714726,2012-004098-26,2016.0,True,False,True
NCT01203917,,2016.0,True,True,True
NCT01974752,,2016.0,True,True,True
NCT01994720,2012-003895-38,2016.0,True,True,True
NCT02075255,,2016.0,True,True,True
,2010-018614-70,2016.0,True,False,True
NCT02491684,2014-005084-32,2016.0,True,False,True
NCT00777153,,2016.0,True,True,True
NCT00890825,,2016.0,True,True,True
NCT01928771,,2016.0,True,True,True
,2004-000384-10,2017.0,True,True,True
NCT00094328,,2017.0,True,True,True
NCT01894243,2013-002246-37,2017.0,True,True,True
NCT00274469,,2017.0,True,True,True
NCT02224157,2013-004473-28,2017.0,True,True,True
NCT02161770,2014-001515-39,2017.0,True,False,True
NCT02281357,2014-001391-54,2017.0,True,True,True
