statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00770393,,,2007,Randomized Phase III Trial Comparing Induction Chemotherapy Followed by Radiotherapy to Concomitant Chemoradiotherapy for Laryngeal Preservation in T3MO Pyriform Sinus Carcinoma,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00428779,,,2007,Neuromuscular and Cognitive Fatigue During a 24h Treadmill Running Exercise.,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00327106,,,2007,Efficacy of Tranexamic Acid on Perioperative Blood Loss During Hip Fracture Surgery.,THIF,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00522561,,,2008,Lower Limb Mechanical Characteristics: Effect on Running Mechanics and Energetics,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00542906,,,2008,Functional Organization of Somatosensory Responses in the Secondary Somatosensitive Area (SII) and Insula : an fMRI Study,,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00452010,,,2008,Pain Reducing Effect of Transcutaneous Electrical Nerve Stimulation (TENS) in Patients With Chronic Low Back Pain or Chronic Lumbo-radiculalgia and Followed in Pain Treatment Centers,LOBOTENS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00475059,,,2008,Performance of Cimetidine-corrected MDRD Equation in Renal Transplant Patients,,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00555438,,,2008,"Prospective, Multicentre, Open-label Study Evaluating 1.5 mg/Day of Fondaparinux,in Venous Thromboembolic Events Prevention in Patients With Renal Impairment and Undergoing a Major Orthopaedic Surgery. PROPICE Study",PROPICE,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00451776,,,2008,"Post Operative Hemodynamic Function After Anesthetic Induction With Etomidate for Cardiac Surgery With ECC. A Prospective, Monocentric, Randomised Double Blind Study",,DRUG
⬛,4,4: pas de résultats postés ni publiés,,2007-006275-36,,2009,Levobupivacaine into post-caesarian analgesia: randomized monocentric study against placebo,LEVOBU,
⬛,4,4: pas de résultats postés ni publiés,NCT00732290,,,2009,Investigation of Drug-drug Interaction Between Clopidogrel and Fluoxetine,PLATINE,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00621907,,,2009,Levobupivacïne Into Post-analgesia : Randomized Monocentric Study Against Placebo,LEVOBU,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00904527,,,2009,Interest of Relaxation From Patients With Pain Due to Migraine,MIGREL,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT00916526,,,2010,Measurement of Exhaled NO and Bronchial Provocation Test With Mannitol as a Predictor of Response to Inhaled Corticosteroids in Chronic Cough,MANOTOUX,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00521508,,,2010,Role of CD4+CD25+FoxP3+ Regulatory T Cells in Pathogenesis of Primary IgA Nephropathy,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00941824,,,2010,Pharmacokinetic Evaluation of an Intensified and Decreasing Dosing Regimen of Mycophenolate Sodium in Combination With Tacrolimus During the First 3 Months Post Kidney Transplant (the myFORTic Study),,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01385683,,,2011,Investigation Drug-drug Interaction Between Dabigatran and Clarithromycin,IMAGINE,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00515645,,,2011,Cardiac Autonomic Functions During Head-out Immersion and During Head Down Tilt,IMMERSION,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01135303,,,2011,Effectiveness of VistaO2 Device in Screening of Sleep Apnea/Hypopnea Syndrome,VISTAO2,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01606020,,,2012,Effects of Sleep Deprivation on Driving Performance and Central Fatigue,PrivSom,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02527902,,,2012,Autonomic Nervous System (ANS) Analysis According to Different Renal Function Stage in Immunoglobin A (IgA) Nephropathy,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01401140,,,2012,"Coronary Surgery: Comparing the Protective Effects of Two Cardioplegic Solutions: Custodiol Versus St Thomas, on Cardiac Metabolism, as Assessed Using Microdialysis",Cardioplégie,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02538445,,,2012,Can we Forget? Directed Forgetting and Embodied Cognition in Schizophrenia,,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00457158,,,2012,"PREPIC 2 : Interruption of Inferior Vena Cava by a Retrievable Filter for the Prevention of Recurrent Pulmonary Embolism : a Randomised, Open Label Study",PREPIC2,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01303471,,,2012,Pain Assessment During General Anesthesia : DOLANS (DOULeur ANeSthesie) Study,DOLANS,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02557568,,,2013,Evaluation of an Algorithm for Identifying Persistent Nasal Staphylococcus Aureus Carriage in a Cohort of Healthy Volunteers and Patients Regularly Monitored at the CHU of Saint-Etienne,ScreenStaph,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00676390,,,2013,Estimated Physical Activity of Congestive Heart Failure Patients by a Physical Activity Questionnaire : Concordance Study.,H2OBis,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02046720,,,2013,The Influence of Age on Bispectral Index Associated With Propofol-induced Sedation,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02522338,,,2013,Measurement of Glomerular Filtration Rate (GFR) in HIV Patients: Single-center Study Comparing the Accuracy of Estimators of GFR Versus Iohexol Plasma Clearance,HIVOL,DRUG
